"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.421",0.641869006047349,0.998426592139988,-0.031,2.456,0.196,0.086,0.078,0.102
"result.422",0.120666568998859,0.978023619749968,0.104,2.553,0.009,0.088,0.091,0.104
"result.423",0.212935021753554,0.992839515078699,0.068,2.471,0.069,0.086,0.082,0.102
"result.424",0.489733068193291,0.979063682359697,0.002,2.481,0.112,0.086,0.082,0.102
"result.425",0.181044282019233,0.995500251600425,0.079,2.487,0.067,0.087,0.09,0.103
"result.426",0.613467772105047,0.949609412343905,-0.025,2.455,0.117,0.086,0.079,0.102
"result.427",0.504140594028935,0.998261714359226,-0.001,2.557,0.163,0.089,0.088,0.105
"result.428",0.991746297443064,0.99830153331153,-0.207,2.377,0.372,0.087,0.078,0.103
"result.429",0.831276758515149,0.993615771414737,-0.085,2.508,0.223,0.089,0.088,0.105
"result.430",0.533995368223975,0.998121742481757,-0.007,2.338,0.171,0.084,0.085,0.102
"result.431",0.114752931666963,0.998790399129688,0.101,2.442,0.07,0.084,0.08,0.101
"result.432",0.318148678900298,0.858158569672624,0.04,2.427,0.02,0.084,0.089,0.101
"result.433",0.947683072084474,0.998807140465886,-0.14,2.35,0.31,0.086,0.081,0.103
"result.434",0.331920423638624,0.860926254544563,0.038,2.591,0.022,0.087,0.083,0.103
"result.435",0.970358738975101,0.991050158671386,-0.161,2.335,0.295,0.086,0.083,0.103
