"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1780",0.0314063735760854,0.0441765838012975,0.15,2.245,-0.248,0.08,0.085,0.099
"result.1781",0.140537990722367,0.0944887303651843,0.091,2.439,-0.166,0.085,0.087,0.102
"result.1782",0.0522109516775364,0.049795970400257,0.131,2.331,-0.225,0.08,0.085,0.099
"result.1783",0.174672608078063,0.115461998118858,0.078,2.393,-0.146,0.083,0.083,0.1
"result.1784",0.0326608113865372,0.00545787598770697,0.15,2.437,-0.295,0.081,0.078,0.099
"result.1785",0.00579042777691922,0.0547581493962653,0.207,2.436,-0.298,0.082,0.081,0.1
"result.1786",0.0284734773398883,0.020511652812749,0.162,2.559,-0.278,0.085,0.084,0.102
"result.1787",0.0082269544941103,0.0198902557875843,0.198,2.367,-0.316,0.083,0.089,0.101
"result.1788",0.00564168572643381,0.00546157707139161,0.21,2.509,-0.355,0.083,0.078,0.101
"result.1789",4.16636993255838e-05,0.00590383658990168,0.318,2.501,-0.463,0.082,0.083,0.1
"result.1790",0.0145305892739591,0.00326843244706798,0.182,2.535,-0.336,0.083,0.084,0.101
"result.1791",0.00186664985025387,0.0459776184563351,0.239,2.424,-0.335,0.082,0.088,0.1
"result.1792",0.0567778157190347,0.00326907737706261,0.127,2.385,-0.284,0.08,0.076,0.099
"result.1793",0.00173564553137115,0.081970921302336,0.243,2.371,-0.323,0.083,0.093,0.101
"result.1794",0.0840494195232243,0.018466699273175,0.115,2.474,-0.233,0.083,0.084,0.101
"result.1795",0.21255751291582,0.0273262502643865,0.066,2.317,-0.176,0.083,0.089,0.1
"result.1796",0.00806004815992644,0.0149258816296073,0.203,2.581,-0.326,0.084,0.078,0.102
"result.1797",0.0122977971480902,0.253682381354653,0.186,2.405,-0.223,0.083,0.088,0.1
"result.1798",0.267593346335971,0.1232127655105,0.052,2.409,-0.118,0.084,0.087,0.102
"result.1799",0.0428573113446278,0.270575547340977,0.146,2.384,-0.181,0.085,0.094,0.102
"result.1800",0.0160125147534315,0.0458249612393123,0.18,2.419,-0.277,0.084,0.089,0.102
"result.1801",2.70190764355602e-05,0.010738294515757,0.33,2.54,-0.462,0.083,0.083,0.101
"result.1802",0.0115886706602069,0.0998210646961796,0.188,2.458,-0.261,0.083,0.079,0.101
"result.1803",0.0248627929897716,0.0722102982981504,0.161,2.421,-0.245,0.082,0.077,0.1
"result.1804",0.263772759712656,0.146051167848938,0.052,2.283,-0.113,0.081,0.086,0.1
"result.1805",0.00297843636812499,0.0243996472331564,0.23,2.59,-0.341,0.084,0.079,0.101
"result.1806",0.0159675842142495,0.351846339526153,0.175,2.42,-0.197,0.082,0.078,0.1
"result.1807",0.388134864754915,0.0547821567922286,0.023,2.387,-0.114,0.081,0.075,0.099
"result.1808",0.0460974952397176,0.0645928115838378,0.137,2.363,-0.224,0.081,0.082,0.1
"result.1809",0.540326696075142,0.00667922197860071,-0.008,2.437,-0.133,0.083,0.076,0.101
"result.1810",0.000321285656970088,0.039581228521979,0.287,2.582,-0.387,0.084,0.082,0.102
"result.1811",0.000138658341886519,0.0498453374254147,0.3,2.507,-0.395,0.083,0.081,0.101
"result.1812",0.27077628717363,0.25023282141138,0.051,2.36,-0.089,0.083,0.08,0.101
"result.1813",0.0331472706921854,0.0150440767760281,0.151,2.449,-0.274,0.082,0.084,0.1
"result.1814",0.0585695262074021,0.192877937619948,0.129,2.278,-0.179,0.082,0.087,0.101
"result.1815",0.35170473115245,0.0854023344327222,0.031,2.353,-0.109,0.082,0.078,0.1
"result.1816",0.0254037404400943,0.372628087735881,0.158,2.333,-0.176,0.081,0.084,0.099
"result.1817",0.0285545911362664,0.000672815806812888,0.16,2.487,-0.343,0.084,0.091,0.102
"result.1818",0.000229685709049082,0.107042271959201,0.288,2.504,-0.359,0.082,0.079,0.1
"result.1819",0.00125104970950492,0.000142162783350219,0.253,2.537,-0.459,0.084,0.088,0.101
"result.1820",0.0045770876932217,0.020019209323301,0.222,2.505,-0.34,0.085,0.092,0.103
"result.1821",0.00401917461701201,0.00539967922496065,0.226,2.556,-0.37,0.085,0.091,0.102
"result.1822",0.0846841315689897,0.0725384138325507,0.114,2.404,-0.197,0.083,0.082,0.1
"result.1823",0.203492216744685,0.0586412934313475,0.068,2.413,-0.157,0.082,0.083,0.1
"result.1824",0.0815501133923111,0.0479348220471266,0.117,2.328,-0.213,0.084,0.087,0.102
"result.1825",0.0252622493887981,0.0355049709992863,0.165,2.55,-0.267,0.084,0.079,0.102
"result.1826",0.153114343799934,0.0396913885230863,0.088,2.525,-0.187,0.086,0.084,0.103
"result.1827",0.186984933871508,0.51591421940295,0.074,2.334,-0.071,0.083,0.084,0.1
"result.1828",0.00753456286516919,0.027224724444281,0.199,2.407,-0.309,0.082,0.084,0.1
"result.1829",0.181307102309426,0.198808313690809,0.075,2.364,-0.123,0.082,0.081,0.1
"result.1830",0.238255202065953,0.0805715353781528,0.058,2.331,-0.138,0.081,0.081,0.099
"result.1831",0.277796684938336,0.382355448565776,0.048,2.279,-0.065,0.081,0.082,0.099
"result.1832",0.000191207598815637,0.0138620633835923,0.283,2.446,-0.409,0.08,0.079,0.098
